_id,sessionID,depot_id,stationID,vehicle_type,charger_type,timezone,connectionTime,disconnectTime,doneChargingTime,extraTime,kWhDelivered,kWhRequested,minutesAvailable,WhPerMile,BUS_CAPACITY_KWH,plug_in_soc_kwh,plug_out_soc_kwh,plug_in_soc_percent,plug_out_soc_percent,energy_met_percent
D83_R1_B0_L1_Pagoh,D83_R1_B0_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_0,BYD_K9,DC,UTC+8,2024-03-24 10:23:27.080408,2024-03-24 10:53:27.080408,2024-03-24 10:45:00,8.451340133333334,125.0,115.0,30.0,2000,324.0,109.65,234.65,33.84,72.42,108.7
D83_CAR_MODEL_A_3,D83_CAR_MODEL_A_3,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_2,CAR_MODEL_A,AC,UTC+8,2024-03-24 10:34:16.527387,2024-03-24 11:23:16.527387,2024-03-24 11:15:00,8.27545645,9.17,8.26,49.0,300,75.0,49.29,58.46,65.72,77.94,110.91
D83_R1_B1_L1_Pagoh,D83_R1_B1_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_1,BYD_K9,DC,UTC+8,2024-03-24 10:48:47.654330,2024-03-24 11:18:47.654330,2024-03-24 11:10:00,8.794238833333333,125.0,115.0,30.0,2000,324.0,108.25,233.25,33.41,71.99,108.7
D83_R1_B2_L1_Pagoh,D83_R1_B2_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_2,BYD_K9,DC,UTC+8,2024-03-24 11:06:29.500347,2024-03-24 11:36:29.500347,2024-03-24 11:30:00,6.491672449999999,125.0,115.0,30.0,2000,324.0,147.7,272.7,45.59,84.17,108.7
D83_R1_B3_L1_Pagoh,D83_R1_B3_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_3,BYD_K9,DC,UTC+8,2024-03-24 11:14:58.099758,2024-03-24 11:44:58.099758,2024-03-24 11:35:00,9.968329299999999,125.0,115.0,30.0,2000,324.0,145.93,270.93,45.04,83.62,108.7
D83_R1_B2_L3_Pagoh,D83_R1_B2_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_2,BYD_K9,DC,UTC+8,2024-03-24 16:24:07.478897,2024-03-24 16:54:07.478897,2024-03-24 16:45:00,9.124648283333332,125.0,115.0,30.0,2000,324.0,144.41,269.41,44.57,83.15,108.7
D83_R1_B1_L3_Pagoh,D83_R1_B1_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_1,BYD_K9,DC,UTC+8,2024-03-24 16:25:53.846434,2024-03-24 16:55:53.846434,2024-03-24 16:50:00,5.897440566666666,125.0,115.0,30.0,2000,324.0,149.49,274.49,46.14,84.72,108.7
D83_R2_B0_L3_Pagoh,D83_R2_B0_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_3,BYD_K9,DC,UTC+8,2024-03-24 16:30:32.054128,2024-03-24 17:00:32.054128,2024-03-24 16:55:00,5.534235466666667,125.0,115.0,30.0,2000,324.0,147.92,272.92,45.65,84.23,108.7
D83_CAR_MODEL_A_7,D83_CAR_MODEL_A_7,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_2,CAR_MODEL_A,AC,UTC+8,2024-03-24 16:41:27.161194,2024-03-24 17:27:27.161194,2024-03-24 17:20:00,7.452686566666667,8.25,7.76,46.0,300,75.0,45.09,53.34,60.13,71.13,106.33
D83_R2_B1_L3_Pagoh,D83_R2_B1_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_2,BYD_K9,DC,UTC+8,2024-03-24 16:51:38.639717,2024-03-24 17:21:38.639717,2024-03-24 17:15:00,6.643995283333334,125.0,115.0,30.0,2000,324.0,95.94,220.94,29.61,68.19,108.7
D83_R2_B2_L3_Pagoh,D83_R2_B2_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_3,BYD_K9,DC,UTC+8,2024-03-24 17:05:52.229099,2024-03-24 17:35:52.229099,2024-03-24 17:30:00,5.870484983333333,125.0,115.0,30.0,2000,324.0,104.38,229.38,32.22,70.8,108.7
D83_R1_B0_L3_Pagoh,D83_R1_B0_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_0,BYD_K9,DC,UTC+8,2024-03-24 17:09:15.903674,2024-03-24 17:39:15.903674,2024-03-24 17:30:00,9.265061233333334,125.0,115.0,30.0,2000,324.0,152.19,277.19,46.97,85.55,108.7
D83_R1_B3_L3_Pagoh,D83_R1_B3_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_1,BYD_K9,DC,UTC+8,2024-03-24 17:13:18.944868,2024-03-24 17:43:18.944868,2024-03-24 17:35:00,8.3157478,125.0,115.0,30.0,2000,324.0,87.02,212.02,26.86,65.44,108.7
D83_R1_B4_L3_Pagoh,D83_R1_B4_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_0,BYD_K9,DC,UTC+8,2024-03-24 17:35:04.978213,2024-03-24 18:05:04.978213,2024-03-24 18:00:00,5.082970216666666,125.0,115.0,30.0,2000,324.0,122.85,247.85,37.92,76.5,108.7
D83_R2_B3_L3_Pagoh,D83_R2_B3_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_1,BYD_K9,DC,UTC+8,2024-03-24 17:45:34.948381,2024-03-24 18:15:34.948381,2024-03-24 18:10:00,5.5824730166666665,125.0,115.0,30.0,2000,324.0,121.06,246.06,37.36,75.94,108.7
D83_CAR_MODEL_A_9,D83_CAR_MODEL_A_9,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_2,CAR_MODEL_A,AC,UTC+8,2024-03-24 18:47:14.935777,2024-03-24 19:26:14.935777,2024-03-24 19:20:00,6.248929616666667,7.33,6.58,39.0,300,75.0,15.74,23.07,20.99,30.77,111.48
D83_CAR_MODEL_A_2,D83_CAR_MODEL_A_2,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_1,CAR_MODEL_A,AC,UTC+8,2024-03-24 19:10:12.993744,2024-03-24 19:43:12.993744,2024-03-24 19:35:00,8.216562399999999,5.5,5.57,33.0,300,75.0,38.8,44.3,51.74,59.07,98.81
D83_CAR_MODEL_B_18,D83_CAR_MODEL_B_18,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_2,CAR_MODEL_B,AC,UTC+8,2024-03-24 20:01:58.929180,2024-03-24 20:50:58.929180,2024-03-24 20:45:00,5.982152999999999,6.0,5.41,49.0,300,60.0,35.47,41.47,59.11,69.11,110.91
D83_CAR_MODEL_A_0,D83_CAR_MODEL_A_0,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_0,CAR_MODEL_A,AC,UTC+8,2024-03-24 21:00:33.023383,2024-03-24 21:58:33.023383,2024-03-24 21:15:00,43.55038971666667,3.67,3.26,58.0,300,75.0,56.74,60.41,75.65,80.54,112.46
D83_CAR_MODEL_C_10,D83_CAR_MODEL_C_10,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_2,CAR_MODEL_C,AC,UTC+8,2024-03-24 21:07:38.378650,2024-03-24 22:04:38.378650,2024-03-24 21:55:00,9.639644166666667,10.08,9.61,57.0,300,100.0,33.22,43.3,33.22,43.3,104.88
D83_CAR_MODEL_B_17,D83_CAR_MODEL_B_17,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_1,CAR_MODEL_B,AC,UTC+8,2024-03-24 21:11:02.252407,2024-03-24 22:08:02.252407,2024-03-24 22:00:00,8.037540116666667,6.6,6.29,57.0,300,60.0,40.28,46.88,67.14,78.14,104.88
D84_CAR_MODEL_A_7,D84_CAR_MODEL_A_7,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_1,CAR_MODEL_A,AC,UTC+8,2024-03-25 08:32:37.244511,2024-03-25 09:24:37.244511,2024-03-25 09:15:00,9.62074185,9.17,8.77,52.0,300,75.0,37.94,47.11,50.59,62.81,104.52
D84_CAR_MODEL_A_11,D84_CAR_MODEL_A_11,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_1,CAR_MODEL_A,AC,UTC+8,2024-03-25 09:41:00.839465,2024-03-25 10:24:00.839465,2024-03-25 10:15:00,9.013991083333334,7.33,7.25,43.0,300,75.0,41.7,49.04,55.6,65.38,101.11
D84_R1_B0_L1_Pagoh,D84_R1_B0_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_0,BYD_K9,DC,UTC+8,2024-03-25 10:32:50.165372,2024-03-25 11:02:50.165372,2024-03-25 10:55:00,7.836089533333333,125.0,115.0,30.0,2000,324.0,134.97,259.97,41.66,80.24,108.7
D84_R1_B1_L1_Pagoh,D84_R1_B1_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_1,BYD_K9,DC,UTC+8,2024-03-25 10:42:13.150629,2024-03-25 11:12:13.150629,2024-03-25 11:05:00,7.219177149999999,125.0,115.0,30.0,2000,324.0,141.73,266.73,43.74,82.32,108.7
D84_R1_B2_L1_Pagoh,D84_R1_B2_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_2,BYD_K9,DC,UTC+8,2024-03-25 11:04:50.549641,2024-03-25 11:34:50.549641,2024-03-25 11:25:00,9.842494016666667,125.0,115.0,30.0,2000,324.0,113.87,238.87,35.14,73.73,108.7
D84_R1_B3_L1_Pagoh,D84_R1_B3_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_3,BYD_K9,DC,UTC+8,2024-03-25 11:18:44.981518,2024-03-25 11:48:44.981518,2024-03-25 11:40:00,8.749691966666667,125.0,115.0,30.0,2000,324.0,154.35,279.35,47.64,86.22,108.7
D84_CAR_MODEL_A_13,D84_CAR_MODEL_A_13,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_1,CAR_MODEL_A,AC,UTC+8,2024-03-25 14:32:17.894440,2024-03-25 15:12:17.894440,2024-03-25 15:05:00,7.298240666666667,7.33,6.75,40.0,300,75.0,30.16,37.49,40.21,49.99,108.7
D84_CAR_MODEL_A_23,D84_CAR_MODEL_A_23,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_2,CAR_MODEL_A,AC,UTC+8,2024-03-25 15:23:39.838284,2024-03-25 16:02:39.838284,2024-03-25 15:55:00,7.663971399999999,7.33,6.58,39.0,300,75.0,39.39,46.72,52.52,62.3,111.48
D84_CAR_MODEL_A_2,D84_CAR_MODEL_A_2,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_0,CAR_MODEL_A,AC,UTC+8,2024-03-25 15:46:48.896571,2024-03-25 16:35:48.896571,2024-03-25 16:25:00,10.81494285,8.25,7.78,49.0,300,75.0,52.22,60.47,69.62,80.62,105.98
D84_R1_B0_L3_Pagoh,D84_R1_B0_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_0,BYD_K9,DC,UTC+8,2024-03-25 16:00:35.384499,2024-03-25 16:30:35.384499,2024-03-25 16:25:00,5.58974165,125.0,115.0,30.0,2000,324.0,136.36,261.36,42.09,80.67,108.7
D84_R1_B1_L3_Pagoh,D84_R1_B1_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_1,BYD_K9,DC,UTC+8,2024-03-25 16:20:39.811196,2024-03-25 16:50:39.811196,2024-03-25 16:45:00,5.663519933333333,125.0,115.0,30.0,2000,324.0,93.92,218.92,28.99,67.57,108.7
D84_R2_B0_L3_Pagoh,D84_R2_B0_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_3,BYD_K9,DC,UTC+8,2024-03-25 16:33:11.124504,2024-03-25 17:03:11.124504,2024-03-25 16:55:00,8.1854084,125.0,115.0,30.0,2000,324.0,156.45,281.45,48.29,86.87,108.7
D84_R1_B2_L3_Pagoh,D84_R1_B2_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_0,BYD_K9,DC,UTC+8,2024-03-25 16:34:58.922459,2024-03-25 17:04:58.922459,2024-03-25 16:55:00,9.982040983333333,125.0,115.0,30.0,2000,324.0,126.53,251.53,39.05,77.63,108.7
D84_R1_B3_L3_Pagoh,D84_R1_B3_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_2,BYD_K9,DC,UTC+8,2024-03-25 16:39:03.212388,2024-03-25 17:09:03.212388,2024-03-25 17:00:00,9.053539800000001,125.0,115.0,30.0,2000,324.0,141.73,266.73,43.74,82.32,108.7
D84_R2_B2_L3_Pagoh,D84_R2_B2_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_1,BYD_K9,DC,UTC+8,2024-03-25 16:54:00.818653,2024-03-25 17:24:00.818653,2024-03-25 17:15:00,9.013644216666668,125.0,115.0,30.0,2000,324.0,122.18,247.18,37.71,76.29,108.7
D84_R1_B4_L3_Pagoh,D84_R1_B4_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_0,BYD_K9,DC,UTC+8,2024-03-25 17:09:58.205137,2024-03-25 17:39:58.205137,2024-03-25 17:30:00,9.970085616666667,125.0,115.0,30.0,2000,324.0,127.26,252.26,39.28,77.86,108.7
D84_R2_B3_L3_Pagoh,D84_R2_B3_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_1,BYD_K9,DC,UTC+8,2024-03-25 17:30:20.972827,2024-03-25 18:00:20.972827,2024-03-25 17:55:00,5.349547116666667,125.0,115.0,30.0,2000,324.0,122.68,247.68,37.86,76.44,108.7
D84_CAR_MODEL_A_3,D84_CAR_MODEL_A_3,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_0,CAR_MODEL_A,AC,UTC+8,2024-03-25 18:57:47.675485,2024-03-25 19:49:47.675485,2024-03-25 19:40:00,9.794591416666666,9.17,8.77,52.0,300,75.0,16.21,25.38,21.62,33.84,104.52
D84_CAR_MODEL_A_29,D84_CAR_MODEL_A_29,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_2,CAR_MODEL_A,AC,UTC+8,2024-03-25 19:12:07.024916,2024-03-25 20:02:07.024916,2024-03-25 19:55:00,7.117081933333334,9.17,8.43,50.0,300,75.0,19.4,28.57,25.87,38.09,108.7
D84_CAR_MODEL_A_16,D84_CAR_MODEL_A_16,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_1,CAR_MODEL_A,AC,UTC+8,2024-03-25 19:59:23.025699,2024-03-25 20:40:23.025699,2024-03-25 20:30:00,10.38376165,7.33,6.92,41.0,300,75.0,41.74,49.08,55.66,65.43,106.04
D84_CAR_MODEL_A_15,D84_CAR_MODEL_A_15,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_0,CAR_MODEL_A,AC,UTC+8,2024-03-25 20:32:50.620743,2024-03-25 21:10:50.620743,2024-03-25 21:00:00,10.843679049999999,6.42,6.41,38.0,300,75.0,23.16,29.58,30.88,39.44,100.11
D84_CAR_MODEL_B_7,D84_CAR_MODEL_B_7,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_2,CAR_MODEL_B,AC,UTC+8,2024-03-25 20:37:28.430689,2024-03-25 21:09:28.430689,2024-03-25 21:00:00,9.473844816666666,3.6,3.53,32.0,300,60.0,33.97,37.57,56.62,62.62,101.9
D85_R1_B0_L1_Pagoh,D85_R1_B0_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_0,BYD_K9,DC,UTC+8,2024-03-26 10:29:04.616702,2024-03-26 10:59:04.616702,2024-03-26 10:50:00,9.076945033333335,125.0,115.0,30.0,2000,324.0,123.93,248.93,38.25,76.83,108.7
D85_R1_B1_L1_Pagoh,D85_R1_B1_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_1,BYD_K9,DC,UTC+8,2024-03-26 10:39:54.615166,2024-03-26 11:09:54.615166,2024-03-26 11:00:00,9.910252766666668,125.0,115.0,30.0,2000,324.0,136.62,261.62,42.17,80.75,108.7
D85_CAR_MODEL_A_21,D85_CAR_MODEL_A_21,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_2,CAR_MODEL_A,AC,UTC+8,2024-03-26 10:47:28.782172,2024-03-26 11:42:28.782172,2024-03-26 11:35:00,7.479702866666667,10.08,9.28,55.0,300,75.0,24.85,34.93,33.13,46.57,108.7
D85_R1_B2_L1_Pagoh,D85_R1_B2_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_2,BYD_K9,DC,UTC+8,2024-03-26 10:59:18.449693,2024-03-26 11:29:18.449693,2024-03-26 11:20:00,9.307494883333334,125.0,115.0,30.0,2000,324.0,127.49,252.49,39.35,77.93,108.7
D85_R1_B3_L1_Pagoh,D85_R1_B3_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_3,BYD_K9,DC,UTC+8,2024-03-26 11:12:47.034392,2024-03-26 11:42:47.034392,2024-03-26 11:35:00,7.783906533333334,125.0,115.0,30.0,2000,324.0,134.73,259.73,41.58,80.16,108.7
D85_R1_B4_L1_Pagoh,D85_R1_B4_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_2,BYD_K9,DC,UTC+8,2024-03-26 11:26:05.878618,2024-03-26 11:56:05.878618,2024-03-26 11:50:00,6.097976966666667,125.0,115.0,30.0,2000,324.0,77.5,202.5,23.92,62.5,108.7
D85_CAR_MODEL_A_18,D85_CAR_MODEL_A_18,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_1,CAR_MODEL_A,AC,UTC+8,2024-03-26 12:38:13.606123,2024-03-26 13:25:13.606123,2024-03-26 13:15:00,10.226768716666667,8.25,7.93,47.0,300,75.0,33.01,41.26,44.01,55.01,104.07
D85_CAR_MODEL_A_35,D85_CAR_MODEL_A_35,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_2,CAR_MODEL_A,AC,UTC+8,2024-03-26 12:59:09.606626,2024-03-26 13:49:09.606626,2024-03-26 13:40:00,9.160110433333333,9.17,8.43,50.0,300,75.0,38.0,47.17,50.67,62.89,108.7
D85_CAR_MODEL_A_16,D85_CAR_MODEL_A_16,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_0,CAR_MODEL_A,AC,UTC+8,2024-03-26 15:01:52.176053,2024-03-26 15:52:52.176053,2024-03-26 15:45:00,7.869600883333334,9.17,8.6,51.0,300,75.0,44.08,53.25,58.77,71.0,106.56
D85_CAR_MODEL_A_33,D85_CAR_MODEL_A_33,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_1,CAR_MODEL_A,AC,UTC+8,2024-03-26 15:20:44.340474,2024-03-26 16:03:44.340474,2024-03-26 15:55:00,8.739007899999999,7.33,7.25,43.0,300,75.0,36.89,44.22,49.18,58.96,101.11
D85_R1_B0_L3_Pagoh,D85_R1_B0_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_0,BYD_K9,DC,UTC+8,2024-03-26 15:55:50.523490,2024-03-26 16:25:50.523490,2024-03-26 16:20:00,5.842058166666666,125.0,115.0,30.0,2000,324.0,124.68,249.68,38.48,77.06,108.7
D85_R1_B1_L3_Pagoh,D85_R1_B1_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_1,BYD_K9,DC,UTC+8,2024-03-26 16:01:13.251268,2024-03-26 16:31:13.251268,2024-03-26 16:25:00,6.220854466666666,125.0,115.0,30.0,2000,324.0,112.86,237.86,34.83,73.41,108.7
D85_R2_B0_L3_Pagoh,D85_R2_B0_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_3,BYD_K9,DC,UTC+8,2024-03-26 16:33:06.604342,2024-03-26 17:03:06.604342,2024-03-26 16:55:00,8.110072366666666,125.0,115.0,30.0,2000,324.0,121.25,246.25,37.42,76.0,108.7
D85_R1_B3_L3_Pagoh,D85_R1_B3_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_1,BYD_K9,DC,UTC+8,2024-03-26 16:37:54.987288,2024-03-26 17:07:54.987288,2024-03-26 17:00:00,7.9164547999999995,125.0,115.0,30.0,2000,324.0,94.16,219.16,29.06,67.64,108.7
D85_R1_B2_L3_Pagoh,D85_R1_B2_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_0,BYD_K9,DC,UTC+8,2024-03-26 16:35:07.995132,2024-03-26 17:05:07.995132,2024-03-26 17:00:00,5.1332522,125.0,115.0,30.0,2000,324.0,171.29,296.29,52.87,91.45,108.7
D85_R1_B4_L3_Pagoh,D85_R1_B4_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_2,BYD_K9,DC,UTC+8,2024-03-26 16:54:54.868319,2024-03-26 17:24:54.868319,2024-03-26 17:15:00,9.914471983333334,125.0,115.0,30.0,2000,324.0,77.98,202.98,24.07,62.65,108.7
D85_R2_B1_L3_Pagoh,D85_R2_B1_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_3,BYD_K9,DC,UTC+8,2024-03-26 17:02:24.340278,2024-03-26 17:32:24.340278,2024-03-26 17:25:00,7.4056713,125.0,115.0,30.0,2000,324.0,104.43,229.43,32.23,70.81,108.7
D85_CAR_MODEL_A_29,D85_CAR_MODEL_A_29,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_0,CAR_MODEL_A,AC,UTC+8,2024-03-26 17:35:15.267614,2024-03-26 18:27:15.267614,2024-03-26 18:20:00,7.254460233333333,9.17,8.77,52.0,300,75.0,45.11,54.28,60.15,72.37,104.52
D85_CAR_MODEL_B_20,D85_CAR_MODEL_B_20,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_2,CAR_MODEL_B,AC,UTC+8,2024-03-26 18:42:29.165409,2024-03-26 19:42:29.165409,2024-03-26 19:35:00,7.48609015,7.2,6.62,60.0,300,60.0,41.35,48.55,68.92,80.92,108.7
D85_CAR_MODEL_B_6,D85_CAR_MODEL_B_6,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_1,CAR_MODEL_B,AC,UTC+8,2024-03-26 20:19:55.286899,2024-03-26 21:06:55.286899,2024-03-26 20:55:00,11.921448316666666,5.4,5.19,47.0,300,60.0,35.17,40.57,58.62,67.62,104.07
D85_CAR_MODEL_C_12,D85_CAR_MODEL_C_12,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_2,CAR_MODEL_C,AC,UTC+8,2024-03-26 20:38:06.781697,2024-03-26 21:24:06.781697,2024-03-26 21:15:00,9.113028283333334,8.25,7.76,46.0,300,100.0,42.57,50.82,42.57,50.82,106.33
D85_CAR_MODEL_A_37,D85_CAR_MODEL_A_37,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_0,CAR_MODEL_A,AC,UTC+8,2024-03-26 20:45:16.157028,2024-03-26 21:33:16.157028,2024-03-26 21:25:00,8.2692838,8.25,8.1,48.0,300,75.0,47.4,55.65,63.2,74.2,101.9
D86_R1_B0_L1_Pagoh,D86_R1_B0_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_0,BYD_K9,DC,UTC+8,2024-03-27 10:36:55.672570,2024-03-27 11:06:55.672570,2024-03-27 11:00:00,6.927876166666667,125.0,115.0,30.0,2000,324.0,93.22,218.22,28.77,67.35,108.7
D86_R1_B1_L1_Pagoh,D86_R1_B1_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_1,BYD_K9,DC,UTC+8,2024-03-27 10:52:32.772006,2024-03-27 11:22:32.772006,2024-03-27 11:15:00,7.546200099999999,125.0,115.0,30.0,2000,324.0,135.93,260.93,41.95,80.53,108.7
D86_R1_B2_L1_Pagoh,D86_R1_B2_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_2,BYD_K9,DC,UTC+8,2024-03-27 11:08:04.434976,2024-03-27 11:38:04.434976,2024-03-27 11:30:00,8.073916266666666,125.0,115.0,30.0,2000,324.0,187.32,312.32,57.81,96.4,108.7
D86_R1_B3_L1_Pagoh,D86_R1_B3_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_3,BYD_K9,DC,UTC+8,2024-03-27 11:17:21.965120,2024-03-27 11:47:21.965120,2024-03-27 11:40:00,7.366085333333333,125.0,115.0,30.0,2000,324.0,104.11,229.11,32.13,70.71,108.7
D86_CAR_MODEL_A_2,D86_CAR_MODEL_A_2,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_2,CAR_MODEL_A,AC,UTC+8,2024-03-27 14:57:35.177861,2024-03-27 15:40:35.177861,2024-03-27 15:30:00,10.586297683333333,7.33,7.25,43.0,300,75.0,33.94,41.27,45.25,55.03,101.11
D86_CAR_MODEL_A_0,D86_CAR_MODEL_A_0,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_0,CAR_MODEL_A,AC,UTC+8,2024-03-27 15:30:17.827256,2024-03-27 16:10:17.827256,2024-03-27 16:05:00,5.297120933333333,7.33,6.75,40.0,300,75.0,8.2,15.54,10.94,20.72,108.7
D86_CAR_MODEL_A_1,D86_CAR_MODEL_A_1,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_1,CAR_MODEL_A,AC,UTC+8,2024-03-27 15:38:18.493530,2024-03-27 16:17:18.493530,2024-03-27 16:10:00,7.308225500000001,7.33,6.58,39.0,300,75.0,37.73,45.06,50.31,60.09,111.48
D86_CAR_MODEL_A_24,D86_CAR_MODEL_A_24,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_2,CAR_MODEL_A,AC,UTC+8,2024-03-27 15:50:02.022192,2024-03-27 16:33:02.022192,2024-03-27 16:25:00,8.0337032,7.33,7.25,43.0,300,75.0,46.27,53.61,61.7,71.47,101.11
D86_R1_B0_L3_Pagoh,D86_R1_B0_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_0,BYD_K9,DC,UTC+8,2024-03-27 16:06:53.624660,2024-03-27 16:36:53.624660,2024-03-27 16:30:00,6.893744333333333,125.0,115.0,30.0,2000,324.0,128.89,253.89,39.78,78.36,108.7
D86_R1_B1_L3_Pagoh,D86_R1_B1_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_1,BYD_K9,DC,UTC+8,2024-03-27 16:25:15.612806,2024-03-27 16:55:15.612806,2024-03-27 16:50:00,5.260213433333333,125.0,115.0,30.0,2000,324.0,134.48,259.48,41.51,80.09,108.7
D86_R1_B3_L3_Pagoh,D86_R1_B3_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_2,BYD_K9,DC,UTC+8,2024-03-27 16:48:26.866177,2024-03-27 17:18:26.866177,2024-03-27 17:10:00,8.447769616666667,125.0,115.0,30.0,2000,324.0,141.96,266.96,43.82,82.4,108.7
D86_R1_B2_L3_Pagoh,D86_R1_B2_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_0,BYD_K9,DC,UTC+8,2024-03-27 16:48:03.239814,2024-03-27 17:18:03.239814,2024-03-27 17:10:00,8.0539969,125.0,115.0,30.0,2000,324.0,105.15,230.15,32.45,71.03,108.7
D86_R1_B4_L3_Pagoh,D86_R1_B4_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_3,BYD_K9,DC,UTC+8,2024-03-27 16:53:32.862486,2024-03-27 17:23:32.862486,2024-03-27 17:15:00,8.5477081,125.0,115.0,30.0,2000,324.0,129.38,254.38,39.93,78.51,108.7
D86_R2_B2_L3_Pagoh,D86_R2_B2_L3_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_1,BYD_K9,DC,UTC+8,2024-03-27 16:58:32.270282,2024-03-27 17:28:32.270282,2024-03-27 17:20:00,8.537838033333333,125.0,115.0,30.0,2000,324.0,140.34,265.34,43.31,81.89,108.7
