_id,sessionID,depot_id,stationID,vehicle_type,charger_type,timezone,connectionTime,disconnectTime,doneChargingTime,extraTime,kWhDelivered,kWhRequested,minutesAvailable,WhPerMile,BUS_CAPACITY_KWH,plug_in_soc_kwh,plug_out_soc_kwh,plug_in_soc_percent,plug_out_soc_percent,energy_met_percent
D7_CAR_MODEL_A_6,D7_CAR_MODEL_A_6,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_0,CAR_MODEL_A,AC,UTC+8,2024-01-08 19:19:32.342977,2024-01-08 19:49:32.342977,2024-01-08 19:40:00,9.539049616666667,5.5,5.06,30.0,300,75.0,10.94,16.44,14.59,21.92,108.7
D7_CAR_MODEL_B_15,D7_CAR_MODEL_B_15,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_2,CAR_MODEL_B,AC,UTC+8,2024-01-08 19:28:51.247434,2024-01-08 20:28:51.247434,2024-01-08 20:20:00,8.8541239,7.2,6.62,60.0,300,60.0,24.93,32.13,41.54,53.54,108.7
D7_CAR_MODEL_B_19,D7_CAR_MODEL_B_19,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_1,CAR_MODEL_B,AC,UTC+8,2024-01-08 19:31:53.005216,2024-01-08 20:19:53.005216,2024-01-08 20:10:00,9.883420266666667,5.4,5.3,48.0,300,60.0,23.41,28.81,39.01,48.01,101.9
D7_CAR_MODEL_A_33,D7_CAR_MODEL_A_33,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_0,CAR_MODEL_A,AC,UTC+8,2024-01-08 19:52:37.169518,2024-01-08 20:32:37.169518,2024-01-08 20:25:00,7.619491966666667,7.33,6.75,40.0,300,75.0,49.65,56.98,66.2,75.97,108.7
D8_CAR_MODEL_A_12,D8_CAR_MODEL_A_12,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_2,CAR_MODEL_A,AC,UTC+8,2024-01-09 09:42:08.792563,2024-01-09 10:16:08.792563,2024-01-09 10:10:00,6.146542716666667,6.42,5.73,34.0,300,75.0,44.95,51.37,59.93,68.49,111.89
D8_CAR_MODEL_A_32,D8_CAR_MODEL_A_32,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_2,CAR_MODEL_A,AC,UTC+8,2024-01-09 10:26:57.085962,2024-01-09 11:22:57.085962,2024-01-09 11:15:00,7.9514327,10.08,9.45,56.0,300,75.0,10.97,21.06,14.63,28.08,106.75
D8_R1_B0_L1_Pagoh,D8_R1_B0_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_0,BYD_K9,DC,UTC+8,2024-01-09 10:29:54.108660,2024-01-09 10:59:54.108660,2024-01-09 10:50:00,9.901811,125.0,115.0,30.0,2000,324.0,162.69,287.69,50.21,88.79,108.7
D8_R1_B1_L1_Pagoh,D8_R1_B1_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_1,BYD_K9,DC,UTC+8,2024-01-09 10:51:49.242129,2024-01-09 11:21:49.242129,2024-01-09 11:15:00,6.82070215,125.0,115.0,30.0,2000,324.0,117.33,242.33,36.21,74.79,108.7
D8_R1_B2_L1_Pagoh,D8_R1_B2_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_2,BYD_K9,DC,UTC+8,2024-01-09 11:00:36.689251,2024-01-09 11:30:36.689251,2024-01-09 11:25:00,5.611487516666667,125.0,115.0,30.0,2000,324.0,163.48,288.48,50.46,89.04,108.7
D8_R1_B3_L1_Pagoh,D8_R1_B3_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_3,BYD_K9,DC,UTC+8,2024-01-09 11:15:12.177507,2024-01-09 11:45:12.177507,2024-01-09 11:40:00,5.20295845,125.0,113.93,30.0,2000,324.0,193.87,318.87,59.84,98.42,109.72
