_id,sessionID,depot_id,stationID,vehicle_type,charger_type,timezone,connectionTime,disconnectTime,doneChargingTime,extraTime,kWhDelivered,kWhRequested,kWhShortfall,minutesAvailable,WhPerMile,BUS_CAPACITY_KWH,plug_in_soc_kwh,plug_out_soc_kwh,plug_in_soc_percent,plug_out_soc_percent,energy_met_percent
D0_CAR_MODEL_A_13,D0_CAR_MODEL_A_13,Pagoh,MY_PAGOH_FAST_AC_1,CAR_MODEL_A,AC,UTC+8,2024-01-01 08:39:06.368368,2024-01-01 09:18:06.368368,2024-01-01 09:05:00,8.106139466666667,5.5,6.58,0.41906666666666653,39.0,300,75.0,26.82,32.32,35.76,43.09,83.59
D0_CAR_MODEL_A_32,D0_CAR_MODEL_A_32,Pagoh,MY_PAGOH_FAST_AC_2,CAR_MODEL_A,AC,UTC+8,2024-01-01 08:46:42.582858,2024-01-01 09:17:42.582858,2024-01-01 09:05:00,7.7097143,3.67,5.23,0.5968111111111111,31.0,300,75.0,15.32,18.99,20.43,25.32,70.11
D0_R1_B0_L1_Pagoh,D0_R1_B0_L1_Pagoh,Pagoh,MY_PAGOH_FAST_DC_0,BYD_K9,DC,UTC+8,2024-01-01 10:32:29.014246,2024-01-01 11:02:29.014246,2024-01-01 10:50:00,7.483570766666667,50.0,115.0,0.26377901234567913,30.0,2000,324.0,139.94,189.94,43.19,58.62,43.48
D0_CAR_MODEL_A_5,D0_CAR_MODEL_A_5,Pagoh,MY_PAGOH_FAST_AC_0,CAR_MODEL_A,AC,UTC+8,2024-01-01 10:39:49.389141,2024-01-01 11:27:49.389141,2024-01-01 11:05:00,17.82315235,5.5,7.15,0.07206666666666661,48.0,300,75.0,52.85,58.35,70.46,77.8,76.92
D0_R1_B1_L1_Pagoh,D0_R1_B1_L1_Pagoh,Pagoh,MY_PAGOH_FAST_DC_1,BYD_K9,DC,UTC+8,2024-01-01 10:43:49.753988,2024-01-01 11:13:49.753988,2024-01-01 11:00:00,8.829233133333334,50.0,115.0,0.330379012345679,30.0,2000,324.0,118.35,168.35,36.53,51.96,43.48
